Optimal policy via Value Iteration
Environment: Mountain Car (mountaincar)
Iterations: 689
Gamma=0.99, Delta=0.001
(28, 27) -> push_right
(28, 28) -> push_left
(28, 29) -> push_left
(28, 30) -> push_right
(28, 31) -> push_left
(28, 32) -> push_left
(28, 33) -> push_left
(28, 34) -> push_left
(28, 35) -> push_left
(28, 36) -> push_left
(28, 37) -> push_left
(28, 38) -> push_left
(28, 39) -> push_left
(28, 40) -> push_right
(29, 0) -> push_left
(29, 1) -> push_left
(29, 2) -> push_left
(29, 3) -> push_left
(29, 4) -> push_left
(29, 5) -> push_left
(29, 6) -> push_left
(29, 7) -> push_left
(29, 8) -> push_left
(29, 9) -> push_left
(29, 10) -> push_left
(29, 11) -> push_right
(29, 12) -> push_right
(29, 13) -> push_right
(29, 14) -> push_left
(29, 15) -> push_left
(29, 16) -> push_left
(29, 17) -> push_left
(29, 18) -> push_left
(29, 19) -> push_left
(29, 20) -> push_left
(29, 21) -> push_left
(29, 22) -> push_left
(29, 23) -> push_left
(29, 24) -> push_left
(29, 25) -> push_left
(29, 26) -> push_left
(29, 27) -> push_right
(29, 28) -> push_left
(29, 29) -> push_left
(29, 30) -> push_right
(29, 31) -> push_left
(29, 32) -> push_left
(29, 33) -> push_left
(29, 34) -> push_left
(29, 35) -> push_left
(29, 36) -> push_left
(29, 37) -> push_left
(29, 38) -> push_left
(29, 39) -> push_left
(29, 40) -> push_right
(30, 0) -> push_left
(30, 1) -> push_left
(30, 2) -> push_left
(30, 3) -> push_left
(30, 4) -> push_left
(30, 5) -> push_left
(30, 6) -> push_left
(30, 7) -> push_left
(30, 8) -> push_left
(30, 9) -> push_left
(30, 10) -> push_left
(30, 11) -> push_right
(30, 12) -> push_right
(30, 13) -> push_right
(30, 14) -> push_left
(30, 15) -> push_left
(30, 16) -> push_left
(30, 17) -> push_left
(30, 18) -> push_left
(30, 19) -> push_left
(30, 20) -> push_left
(30, 21) -> push_left
(30, 22) -> push_left
(30, 23) -> push_left
(30, 24) -> push_left
(30, 25) -> push_left
(30, 26) -> push_left
(30, 27) -> push_right
(30, 28) -> push_left
(30, 29) -> push_left
(30, 30) -> push_right
(30, 31) -> push_left
(30, 32) -> push_left
(30, 33) -> push_left
(30, 34) -> push_left
(30, 35) -> push_left
(30, 36) -> push_left
(30, 37) -> push_left
(30, 38) -> push_left
(30, 39) -> push_left
(30, 40) -> push_right
(31, 0) -> push_left
(31, 1) -> push_left
(31, 2) -> push_left
(31, 3) -> push_left
(31, 4) -> push_left
(31, 5) -> push_left
(31, 6) -> push_left
(31, 7) -> push_left
(31, 8) -> push_left
(31, 9) -> push_left
(31, 10) -> push_left
(31, 11) -> push_left
(31, 12) -> push_right
(31, 13) -> push_right
(31, 14) -> push_left
(31, 15) -> push_left
(31, 16) -> push_left
(31, 17) -> push_left
(31, 18) -> push_left
(31, 19) -> push_left
(31, 20) -> push_left
(31, 21) -> push_left
(31, 22) -> push_left
(31, 23) -> push_left
(31, 24) -> push_left
(31, 25) -> push_left
(31, 26) -> push_left
(31, 27) -> push_right
(31, 28) -> push_left
(31, 29) -> push_left
(31, 30) -> push_right
(31, 31) -> push_left
(31, 32) -> push_left
(31, 33) -> push_left
(31, 34) -> push_left
(31, 35) -> push_left
(31, 36) -> push_left
(31, 37) -> push_left
(31, 38) -> push_left
(31, 39) -> push_left
(31, 40) -> push_right
(32, 0) -> push_left
(32, 1) -> push_left
(32, 2) -> push_left
(32, 3) -> push_left
(32, 4) -> push_left
(32, 5) -> push_left
(32, 6) -> push_left
(32, 7) -> push_left
(32, 8) -> push_left
(32, 9) -> push_left
(32, 10) -> push_left
(32, 11) -> push_left
(32, 12) -> push_right
(32, 13) -> push_right
(32, 14) -> push_left
(32, 15) -> push_left
(32, 16) -> push_left
(32, 17) -> push_left
(32, 18) -> push_left
(32, 19) -> push_left
(32, 20) -> push_left
(32, 21) -> push_left
(32, 22) -> push_left
(32, 23) -> push_left
(32, 24) -> push_left
(32, 25) -> push_left
(32, 26) -> push_left
(32, 27) -> push_right
(32, 28) -> push_left
(32, 29) -> push_left
(32, 30) -> push_right
(32, 31) -> push_left
(32, 32) -> push_left
(32, 33) -> push_left
(32, 34) -> push_left
(32, 35) -> push_left
(32, 36) -> push_left
(32, 37) -> push_left
(32, 38) -> push_left
(32, 39) -> push_left
(32, 40) -> push_right
(33, 0) -> push_left
(33, 1) -> push_left
(33, 2) -> push_left
(33, 3) -> push_left
(33, 4) -> push_left
(33, 5) -> push_left
(33, 6) -> push_left
(33, 7) -> push_left
(33, 8) -> push_left
(33, 9) -> push_left
(33, 10) -> push_left
(33, 11) -> push_left
(33, 12) -> coast
(33, 13) -> coast
(33, 14) -> push_left
(33, 15) -> push_left
(33, 16) -> push_left
(33, 17) -> push_left
(33, 18) -> push_left
(33, 19) -> push_left
(33, 20) -> push_left
(33, 21) -> push_left
(33, 22) -> push_left
(33, 23) -> push_left
(33, 24) -> push_left
(33, 25) -> push_left
(33, 26) -> push_left
(33, 27) -> coast
(33, 28) -> push_left
(33, 29) -> push_left
(33, 30) -> coast
(33, 31) -> push_left
(33, 32) -> push_left
(33, 33) -> push_left
(33, 34) -> push_left
(33, 35) -> push_left
(33, 36) -> push_left
(33, 37) -> push_left
(33, 38) -> push_left
(33, 39) -> push_left
(33, 40) -> coast
(34, 0) -> push_left
(34, 1) -> push_left
(34, 2) -> push_left
(34, 3) -> push_left
(34, 4) -> push_left
(34, 5) -> push_left
(34, 6) -> push_left
(34, 7) -> push_left
(34, 8) -> push_left
(34, 9) -> push_left
(34, 10) -> push_left
(34, 11) -> push_left
(34, 12) -> coast
(34, 13) -> coast
(34, 14) -> push_left
(34, 15) -> push_left
(34, 16) -> push_left
(34, 17) -> push_left
(34, 18) -> push_left
(34, 19) -> push_left
(34, 20) -> push_left
(34, 21) -> push_left
(34, 22) -> push_left
(34, 23) -> push_left
(34, 24) -> push_left
(34, 25) -> push_left
(34, 26) -> push_left
(34, 27) -> coast
(34, 28) -> push_left
(34, 29) -> push_left
(34, 30) -> coast
(34, 31) -> push_left
(34, 32) -> push_left
(34, 33) -> push_left
(34, 34) -> push_left
(34, 35) -> push_left
(34, 36) -> push_left
(34, 37) -> push_left
(34, 38) -> push_left
(34, 39) -> push_left
(34, 40) -> push_left
(35, 0) -> push_left
(35, 1) -> push_left
(35, 2) -> push_left
(35, 3) -> push_left
(35, 4) -> push_left
(35, 5) -> push_left
(35, 6) -> push_left
(35, 7) -> push_left
(35, 8) -> push_left
(35, 9) -> push_left
(35, 10) -> push_left
(35, 11) -> push_left
(35, 12) -> coast
(35, 13) -> coast
(35, 14) -> push_left
(35, 15) -> push_left
(35, 16) -> push_left
(35, 17) -> push_left
(35, 18) -> push_left
(35, 19) -> push_left
(35, 20) -> push_left
(35, 21) -> push_left
(35, 22) -> push_left
(35, 23) -> push_left
(35, 24) -> push_left
(35, 25) -> push_left
(35, 26) -> push_left
(35, 27) -> coast
(35, 28) -> push_left
(35, 29) -> push_left
(35, 30) -> coast
(35, 31) -> push_left
(35, 32) -> push_left
(35, 33) -> push_left
(35, 34) -> push_left
(35, 35) -> push_left
(35, 36) -> push_left
(35, 37) -> push_left
(35, 38) -> push_left
(35, 39) -> push_left
(35, 40) -> push_left
(36, 0) -> push_left
(36, 1) -> push_left
(36, 2) -> push_left
(36, 3) -> push_left
(36, 4) -> push_left
(36, 5) -> push_left
(36, 6) -> push_left
(36, 7) -> push_left
(36, 8) -> push_left
(36, 9) -> push_left
(36, 10) -> push_left
(36, 11) -> push_left
(36, 12) -> push_left
(36, 13) -> coast
(36, 14) -> push_left
(36, 15) -> push_left
(36, 16) -> push_left
(36, 17) -> push_left
(36, 18) -> push_left
(36, 19) -> push_left
(36, 20) -> push_left
(36, 21) -> push_left
(36, 22) -> push_left
(36, 23) -> push_left
(36, 24) -> push_left
(36, 25) -> push_left
(36, 26) -> push_left
(36, 27) -> coast
(36, 28) -> push_left
(36, 29) -> push_left
(36, 30) -> coast
(36, 31) -> push_left
(36, 32) -> push_left
(36, 33) -> push_left
(36, 34) -> push_left
(36, 35) -> push_left
(36, 36) -> push_left
(36, 37) -> push_left
(36, 38) -> push_left
(36, 39) -> push_left
(36, 40) -> push_left
(37, 0) -> push_left
(37, 1) -> push_left
(37, 2) -> push_left
(37, 3) -> push_left
(37, 4) -> push_left
(37, 5) -> push_left
(37, 6) -> push_left
(37, 7) -> push_left
(37, 8) -> push_left
(37, 9) -> push_left
(37, 10) -> push_left
(37, 11) -> push_left
(37, 12) -> push_left
(37, 13) -> push_left
(37, 14) -> push_left
(37, 15) -> push_left
(37, 16) -> push_left
(37, 17) -> push_left
(37, 18) -> push_left
(37, 19) -> push_left
(37, 20) -> push_left
(37, 21) -> push_left
(37, 22) -> push_left
(37, 23) -> push_left
(37, 24) -> push_left
(37, 25) -> push_left
(37, 26) -> push_left
(37, 27) -> push_left
(37, 28) -> push_left
(37, 29) -> push_left
(37, 30) -> push_right
(37, 31) -> push_left
(37, 32) -> push_left
(37, 33) -> push_left
(37, 34) -> push_left
(37, 35) -> push_left
(37, 36) -> push_left
(37, 37) -> push_left
(37, 38) -> push_left
(37, 39) -> push_left
(37, 40) -> push_left
(38, 0) -> None
(38, 1) -> None
(38, 2) -> None
(38, 3) -> None
(38, 4) -> None
(38, 5) -> None
(38, 6) -> None
(38, 7) -> None
(38, 8) -> None
(38, 9) -> None
(38, 10) -> None
(38, 11) -> None
(38, 12) -> None
(38, 13) -> None
(38, 14) -> None
(38, 15) -> None
(38, 16) -> None
(38, 17) -> None
(38, 18) -> None
(38, 19) -> None
(38, 20) -> None
(38, 21) -> None
(38, 22) -> None
(38, 23) -> None
(38, 24) -> None
(38, 25) -> None
(38, 26) -> None
(38, 27) -> None
(38, 28) -> None
(38, 29) -> None
(38, 30) -> None
(38, 31) -> None
(38, 32) -> None
(38, 33) -> None
(38, 34) -> None
(38, 35) -> None
(38, 36) -> None
(38, 37) -> None
(38, 38) -> None
(38, 39) -> None
(38, 40) -> None
(39, 0) -> None
(39, 1) -> None
(39, 2) -> None
(39, 3) -> None
(39, 4) -> None
(39, 5) -> None
(39, 6) -> None
(39, 7) -> None
(39, 8) -> None
(39, 9) -> None
(39, 10) -> None
(39, 11) -> None
(39, 12) -> None
(39, 13) -> None
(39, 14) -> None
(39, 15) -> None
(39, 16) -> None
(39, 17) -> None
(39, 18) -> None
(39, 19) -> None
(39, 20) -> None
(39, 21) -> None
(39, 22) -> None
(39, 23) -> None
(39, 24) -> None
(39, 25) -> None
(39, 26) -> None
(39, 27) -> None
(39, 28) -> None
(39, 29) -> None
(39, 30) -> None
(39, 31) -> None
(39, 32) -> None
(39, 33) -> None
(39, 34) -> None
(39, 35) -> None
(39, 36) -> None
(39, 37) -> None
(39, 38) -> None
(39, 39) -> None
(39, 40) -> None
(40, 0) -> None
(40, 1) -> None
(40, 2) -> None
(40, 3) -> None
(40, 4) -> None
(40, 5) -> None
(40, 6) -> None
(40, 7) -> None
(40, 8) -> None
(40, 9) -> None
(40, 10) -> None
(40, 11) -> None
(40, 12) -> None
(40, 13) -> None
(40, 14) -> None
(40, 15) -> None
(40, 16) -> None
(40, 17) -> None
(40, 18) -> None
(40, 19) -> None
(40, 20) -> None
(40, 21) -> None
(40, 22) -> None
(40, 23) -> None
(40, 24) -> None
(40, 25) -> None
(40, 26) -> None
(40, 27) -> None
(40, 28) -> None
(40, 29) -> None
(40, 30) -> None
(40, 31) -> None
(40, 32) -> None
(40, 33) -> None
(40, 34) -> None
(40, 35) -> None
(40, 36) -> None
(40, 37) -> None
(40, 38) -> None
(40, 39) -> None
(40, 40) -> None
