Policy snapshot for mountaincar
Format: state -> best action | action probabilities
state=(-0.9230769597567046, -0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.048461538667862236): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.0448717950628354): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.037692307852781735): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.030512820642728075): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.02692307703770124): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.01974358982764758): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.016153846222620748): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.00897435901256708): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, -0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.008974359012567074): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.01615384622262074): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.019743589827647567): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.026923077037701235): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.03051282064272806): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.03769230785278173): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.044871795062835396): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.04846153866786222): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.05564102587791589): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.06282051308796954): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.06641025669299638): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.9230769597567046, 0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, -0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.0664102566929964): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.06282051308796956): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.055641025877915896): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.048461538667862236): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.0448717950628354): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.037692307852781735): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.030512820642728075): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.02692307703770124): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.01974358982764758): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.016153846222620748): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.00897435901256708): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.8769231117688693, -0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.008974359012567074): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.01615384622262074): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.019743589827647567): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.026923077037701235): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.03051282064272806): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.03769230785278173): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.044871795062835396): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.04846153866786222): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.05564102587791589): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.06282051308796954): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.06641025669299638): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.8769231117688693, 0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.830769263781034, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.026923077037701235): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.03051282064272806): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.03769230785278173): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.044871795062835396): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.04846153866786222): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.05564102587791589): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.06282051308796954): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.06641025669299638): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.830769263781034, 0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7846154157931988, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.7384615678053637, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6923077198175284, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
